Time(s)	TrafficType	Size(Bytes)
4.36405	ftp	536	
4.36877	ftp	536	
4.37349	ftp	536	
4.37821	ftp	536	
4.38293	ftp	536	
4.38765	ftp	536	
4.39237	ftp	536	
4.39709	ftp	536	
4.39856	gaming	129	
4.4277	video	49	
4.42847	video	42	
4.42937	video	59	
4.4412	video	245	
4.44199	video	44	
4.44442	video	250	
4.4548	video	64	
4.45565	video	52	
4.45656	video	60	
4.45751	video	64	
4.47388	gaming	223	
4.47475	video	54	
4.47629	video	139	
4.47704	video	40	
4.4778	video	40	
4.4788	video	72	
4.4845	video	68	
4.48693	video	250	
4.49804	gaming	154	
4.49906	video	74	
4.49961	voip	15	
4.50044	video	50	
4.50123	video	44	
4.54541	gaming	159	
4.6318	gaming	124	
4.64232	video	81	
4.64332	video	71	
4.663	video	46	
4.66387	video	55	
4.67416	video	52	
4.67523	video	80	
4.67613	video	59	
4.68643	video	53	
4.6925	gaming	115	
4.69305	voip	15	
4.69388	video	49	
4.6948	video	61	
4.69564	video	51	
4.6964	video	41	
4.69765	video	103	
4.70008	video	250	
4.7058	video	70	
4.71154	gaming	74	
4.71702	video	41	
4.71945	video	250	
4.72106	video	147	
4.72194	video	56	
4.7237	video	166	
4.76331	gaming	177	
4.79635	ftp	19296	
4.83063	gaming	101	
4.83742	video	205	
4.83797	voip	15	
4.83912	video	90	
4.84471	video	54	
4.84579	video	81	
4.85615	video	61	
4.85846	video	235	
4.86909	gaming	95	
4.86997	video	56	
4.87712	video	250	
4.8827	video	53	
4.88895	video	137	
4.89442	video	40	
4.90042	video	106	
4.90608	video	64	
4.91165	video	52	
4.91245	video	46	
4.9182	video	75	
4.919	video	45	
4.91984	video	52	
4.92076	video	60	
4.92179	video	75	
4.93123	ftp	31624	
4.93595	ftp	536	
4.93757	gaming	149	
4.94229	ftp	536	
4.94701	ftp	536	
4.95173	ftp	536	
4.95645	ftp	536	
4.96117	ftp	536	
4.963	gaming	175	
4.96376	voip	40	
4.96848	ftp	536	
4.9732	ftp	536	
4.97792	ftp	536	
4.98264	ftp	536	
4.98339	voip	40	
4.98811	ftp	536	
